休眠,0004H,休眠,0004H,case 0
自检,0002H,自检,0002H,case 2
唤醒,0001H,唤醒,0001H,case 1
取自检结果,0010H,取自检结果,0010H,
非均匀校正结构查询,0020H,从站回送非均匀校正应答,0020H,case 7
取从站软件版本号,0030H,取从站软件版本号,0030H,
参数装订,0100H,从站回送目标控制参数装订应答,0100H,case 3
红外参数设置,0200H,红外参数设置,0200H,
激光参数设置,0300H,激光参数设置,0300H,
伺服参数设置,0300H,伺服参数设置,0300H,
数据采集,1000H,数据采集,1000H,case 9
非均匀校正,0020H,非均匀校正,0020H,
积分时间调整,3000H,积分时间调整,3000H,
,,一次指令,0008H,case 12
,,从站自检结果,0002H,case 10
,,目标控制参数装订下传应答,0200H,case 11
,,固定参数装订下传应答,0400H,case 14
,,从站回送固定参数装订应答 ,0300H,case 13
