指令帧号,1+UINT16+0
弹上机帧号,2+UINT16+0
弹目相对距离,3+FLOAT32+0
弹目相对速度,4+FLOAT32+0
导弹(相对)海拔高度,5+FLOAT32+0
目标(相对)海拔高度,6+FLOAT32+0
目标速度Vx,7+FLOAT32+0
目标速度Vy,8+FLOAT32+0
目标速度Vz,9+FLOAT32+0
目标俯仰角速度,10+FLOAT32+0.0174533
目标方位角速度,11+FLOAT32+0.0174533
前发1弹体视线俯仰角,12+FLOAT32+0.0174533
前发1弹体视线方位角,13+FLOAT32+0.0174533
前发1俯仰角速度,14+FLOAT32+0.0174533
前发1方位角速度,15+FLOAT32+0.0174533
前发2弹体视线俯仰角,16+FLOAT32+0.0174533
前发2弹体视线方位角,17+FLOAT32+0.0174533
前发2俯仰角速度,18+FLOAT32+0.0174533
前发2方位角速度,19+FLOAT32+0.0174533
弹体俯仰姿态角,20+FLOAT32+0.0174533
弹体偏航姿态角,21+FLOAT32+0.0174533
弹体滚转姿态角,22+FLOAT32+0.0174533
上下视俯仰角,23+FLOAT32+0.0174533
目标状态字,24+RES+2
复合指令字,25+RES+2
预置俯仰角,26+FLOAT32+0.0174533
预置方位角,27+FLOAT32+0.0174533
导弹速度Vx,28+FLOAT32+0
导弹速度Vy,29+FLOAT32+0
导弹速度Vz,30+FLOAT32+0
YUL,31+RES+8
