指令帧号,1+UINT16+0
应答帧号,2+UINT16+0
预留,3+RES+1
跟踪信息来源,4+UINT8+0
跟踪目标在弹体系下俯仰角,5+INT16+100
跟踪目标在弹体系下方位角,6+INT16+100
光轴实际方位角,7+INT16+1000
光轴实际俯仰角,8+INT16+1000
跟踪目标在惯性系下俯仰角,9+INT16+100
跟踪目标在惯性系下方位角,10+INT16+100
跟踪目标惯性系俯仰向角速度,11+INT16+500
跟踪目标惯性系方位向角速度,12+INT16+500
跟踪目标惯性系俯仰向角加速度,13+INT16+100
跟踪目标惯性系方位向角加速度,14+INT16+100
快反镜传感器方位角度,15+INT16+1000
快反镜传感器俯仰角度,16+INT16+1000
陀螺滚转角速度,17+INT16+200
陀螺方位角速度,18+INT16+300
陀螺俯仰角速度,19+INT16+300
陀螺温度,20+UINT8+0
预留,21+RES+11,
跟踪目标在红外视场中俯仰角,22+INT16+10000,,,
跟踪目标在红外视场中方位角,23+INT16+10000
跟踪目标俯仰向坐标,24+UINT16+500
跟踪目标方位向坐标,25+UINT16+500
跟踪目标像素总数,26+UINT16+0
跟踪目标有效信噪比,27+UINT16+100
红外导引头积分时间,28+UINT8+50
红外图像灰度均值,29+UINT16+0
红外图像灰度标准差,30+UINT16+100
红外应答状态,31+UINT16+0
红外搜索策略,32+UINT8+0
红外图像帧号,33+UINT16+0
图像曝光距B帧发送时间间隔,34+UINT16+0
预留,35+RES+8
激光图像帧号,36+UINT16+0
激光发射脉冲数,37+UINT16+0
激光探测器偏压,38+UINT16+0
温控/出光状态,39+UINT8+0
激光工作状态,40+UINT16+0
激光跟踪目标光轴系俯仰角,41+INT16+100000
激光跟踪目标光轴系方位角,42+INT16+100000
激光跟踪目标在激光视场中俯仰坐标,43+INT16+1000
激光跟踪目标在激光视场中方位坐标,44+INT16+1000
激光成像像素数,45+INT8+0
回波置信度,46+UINT8+0
回波脉冲宽度,47+UINT8+0
预留,48+RES+1
测距距离1（最近一次）,49+UINT16+100
测距速度1（最近一次）,50+UINT16+10
定位标志-39,51+UINT8+0
激光距离-39,52+UINT16+100
定位标志-38,53+UINT8+0
激光距离-38,54+UINT16+100
定位标志-37,55+UINT8+0
激光距离-37,56+UINT16+100
定位标志-36,57+UINT8+0
激光距离-36,58+UINT16+100
定位标志-35,59+UINT8+0
激光距离-35,60+UINT16+100
定位标志-34,61+UINT8+0
激光距离-34,62+UINT16+100
定位标志-33,63+UINT8+0
激光距离-33,64+UINT16+100
定位标志-32,65+UINT8+0
激光距离-32,66+UINT16+100
定位标志-31,67+UINT8+0
激光距离-31,68+UINT16+100
定位标志-30,69+UINT8+0
激光距离-30,70+UINT16+100
定位标志-29,71+UINT8+0
激光距离-29,72+UINT16+100
定位标志-28,73+UINT8+0
激光距离-28,74+UINT16+100
定位标志-27,75+UINT8+0
激光距离-27,76+UINT16+100
定位标志-26,77+UINT8+0
激光距离-26,78+UINT16+100
定位标志-25,79+UINT8+0
激光距离-25,80+UINT16+100
定位标志-24,81+UINT8+0
激光距离-24,82+UINT16+100
定位标志-23,83+UINT8+0
激光距离-23,84+UINT16+100
定位标志-22,85+UINT8+0
激光距离-22,86+UINT16+100
定位标志-21,87+UINT8+0
激光距离-21,88+UINT16+100
定位标志-20,89+UINT8+0
激光距离-20,90+UINT16+100
定位标志-19,91+UINT8+0
激光距离-19,92+UINT16+100
定位标志-18,93+UINT8+0
激光距离-18,94+UINT16+100
定位标志-17,95+UINT8+0
激光距离-17,96+UINT16+100
定位标志-16,97+UINT8+0
激光距离-16,98+UINT16+100
定位标志-15,99+UINT8+0
激光距离-15,100+UINT16+100
定位标志-14,101+UINT8+0
激光距离-14,102+UINT16+100
定位标志-13,103+UINT8+0
激光距离-13,104+UINT16+100
定位标志-12,105+UINT8+0
激光距离-12,106+UINT16+100
定位标志-11,107+UINT8+0
激光距离-11,108+UINT16+100
定位标志-10,109+UINT8+0
激光距离-10,110+UINT16+100
定位标志-9,111+UINT8+0
激光距离-9,112+UINT16+100
定位标志-8,113+UINT8+0
激光距离-8,114+UINT16+100
定位标志-7,115+UINT8+0
激光距离-7,116+UINT16+100
定位标志-6,117+UINT8+0
激光距离-6,118+UINT16+100
定位标志-5,119+UINT8+0
激光距离-5,120+UINT16+100
定位标志-4,121+UINT8+0
激光距离-4,122+UINT16+100
定位标志-3,123+UINT8+0
激光距离-3,124+UINT16+100
定位标志-2,125+UINT8+0
激光距离-2,126+UINT16+100
定位标志-1,127+UINT8+0
激光距离-1,128+UINT16+100
定位标志-0,129+UINT8+0
激光距离-0,130+UINT16+100
预留,131+RES+1
