指令帧号,1+UINT16+0
飞行指令,2+RES+1
工作模式指令,3+RES+1
弹目相对距离,4+UINT16+10
弹目相对速度,5+UINT16+20
弹目接近加速度,6+UINT16+100
导弹（相对）海拔高度,7+UINT16+0
目标（相对）海拔高度,8+UINT16+0
目标位置X,9+INT16+0
目标位置Y,10+INT16+0
目标位置Z,11+INT16+0
目标速度Vx,12+INT16+10
目标速度Vy,13+INT16+10
目标速度Vz,14+INT16+10
发射系下导弹位置X,15+INT16+0
发射系下导弹位置Y,16+INT16+0
发射系下导弹位置Z,17+INT16+0
发射导航系下导弹速度Vx,18+INT16+10
发射导航系下导弹速度Vy,19+INT16+10
发射导航系下导弹速度Vz,20+INT16+10
预置方位角,21+INT16+1000
预置俯仰角,22+INT16+1000
前发1位置X,23+INT16+0
前发1位置Y,24+INT16+0
前发1位置Z,25+INT16+0
前发1速度Vx,26+INT16+10
前发1速度Vy,27+INT16+10
前发1速度Vz,28+INT16+10
前发2位置X,29+INT16+0
前发2位置Y,30+INT16+0
前发2位置Z,31+INT16+0
前发2速度Vx,32+INT16+10
前发2速度Vy,33+INT16+10
前发2速度Vz,34+INT16+10
弹体俯仰姿态角,35+FLOAT32+0
弹体偏航姿态角,36+FLOAT32+0
弹体滚动姿态角,37+FLOAT32+0
保留,38+RES+12
导引头抗干扰信息,39+RES+2
预留,40+RES+1
红外搜索方式,41+RES+1
积分时间控制,42+RES+1
弹上机帧号,43+UINT16+0
预留,44+RES+3
激光工作状态,45+RES+1
允许输出引爆信号,46+RES+1
预留,47+RES+8
预留,48+RES+8
预留,49+RES+8
