数据有效标志,1+UINT8+0
目标信息1,2+UINT16+0
目标信息2,3+UINT16+0
目标信息3,4+UINT16+0
目标信息4,5+UINT16+0
目标信息5,6+UINT16+0
目标信息6,7+UINT16+0
目标信息7,8+UINT16+0
目标信息8,9+UINT16+0
目标信息9,10+UINT16+0
目标信息10,11+UINT16+0
目标信息11,12+UINT16+0
目标信息12,13+UINT16+0
目标信息13,14+UINT16+0
目标信息14,15+UINT16+0
目标信息15,16+UINT16+0
目标信息16,17+UINT16+0
目标信息17,18+UINT16+0
目标信息18,19+UINT16+0
目标信息19,20+UINT16+0
目标信息20,21+UINT16+0
目标信息21,22+UINT16+0
数据链遥测量,23+UINT16+0
基准时间差,24+UINT16+0
峰均比,25+UINT16+0
频偏,26+UINT16+0
AGC电压,27+UINT16+0
有效信号功率估计,28+UINT16+0
