红外图像帧号,1+UINT16+1,A帧目标状态字,35+UINT16+1,激光目标平均脉宽,69+UINT8+1,数据链状态标志1,103+UINT16+1
激光图像帧号,2+UINT16+1,A帧复合指令字,36+UINT16+1,引爆延迟时间,70+FLOAT32+1,时间差,104+UINT16+1
激光发射脉冲数,3+UINT16+1,A帧预置指令方位角,37+FLOAT32+0.0174533,滤波后弹目相对距离,71+FLOAT32+1,峰均比,105+UINT16+1
DAV间隔时钟计数高位,4+UINT16+1,A帧预置指令俯仰角,38+FLOAT32+0.0174533,滤波后弹目相对速度X方向,72+FLOAT32+1,频偏,106+UINT16+1
DAV间隔时钟计数低位,5+UINT16+1,红外应答状态,39+UINT16+1,滤波后弹目相对速度Y方向,73+FLOAT32+1,AGC电压,107+UINT16+1
制冷测温值,6+UINT16+1,激光工作状态,40+UINT16+1,滤波后弹目相对速度Z方向,74+FLOAT32+1,信号功率估计,108+UINT16+1
状态字,7+UINT8+1,激光探测器偏压,41+UINT16+1,滤波后弹目相对速度,75+FLOAT32+1,数据链状态标志2,109+UINT16+1
激光数据包,8+RES+108,快反镜方位角,42+FLOAT32+0.0174533,相对速度与拦截弹弹轴夹角,76+FLOAT32+1,AD幅度,110+UINT16+1
陀螺滚转角速度,9+INT16+10000,快反镜俯仰角,43+FLOAT32+0.0174533,激光测距距离-9,77+UINT16+1,当前使用的伪随机数1,111+UINT8+1
陀螺俯仰角速度,10+INT16+10000,弹体系目标俯仰角,44+FLOAT32+0.0174533,定位标志-9,78+UINT8+1,当前使用的伪随机数2,112+UINT8+1
陀螺方位角速度,11+INT16+10000,弹体系目标方位角,45+FLOAT32+0.0174533,激光测距距离-8,79+UINT16+1,当前使用的伪随机数3,113+UINT8+1
陀螺温度,12+INT8+1,惯性系目标俯仰角,46+FLOAT32+0.0174533,定位标志-8,80+UINT8+1,当前使用的伪随机数4,114+UINT8+1
A帧当前指令帧号,13+UINT16+0,惯性系目标方位角,47+FLOAT32+0.0174533,激光测距距离-7,81+UINT16+1,当前使用的伪随机数5,115+UINT8+1
A帧弹目相对距离,14+FLOAT32+1,光轴指向方位角,48+FLOAT32+0.0174533,定位标志-7,82+UINT8+1,当前使用的伪随机数6,116+UINT8+1
A帧弹目相对速度,15+FLOAT32+1,光轴指向俯仰角,49+FLOAT32+0.0174533,激光测距距离-6,83+UINT16+1,当前使用的频率（接收）,117+UINT8+1
A帧导弹(相对)海拔高度,16+FLOAT32+1,红外光轴系目标俯仰角,50+FLOAT32+0.0174533,定位标志-6,84+UINT8+1,当前使用的频率（发射）,118+UINT8+1
A帧目标(相对)海拔高度,17+FLOAT32+1,红外光轴系目标方位角,51+FLOAT32+0.0174533,激光测距距离-5,85+UINT16+1
A帧目标速度Vx,18+FLOAT32+1,红外目标有效信噪比,52+FLOAT32+1,定位标志-5,86+UINT8+1
A帧目标速度Vy,19+FLOAT32+1,红外目标像素总数,53+UINT16+1,激光测距距离-4,87+UINT16+1
A帧目标速度Vz,20+FLOAT32+1,红外目标与背景平均灰度差,54+UINT16+1,定位标志-4,88+UINT8+1
A帧目标方位角速度,21+FLOAT32+1,红外校正图灰度均值,55+UINT16+1,激光测距距离-3,89+UINT16+1
A帧目标俯仰角速度,22+FLOAT32+1,红外校正图灰度标准差,56+UINT8+1,定位标志-3,90+UINT8+1
A帧前发1弹体视线俯仰角,23+FLOAT32+0.0174533,激光目标像素总数,57+UINT8+1,激光测距距离-2,91+UINT16+1
A帧前发1弹体视线方位角,24+FLOAT32+0.0174533,激光光轴系目标俯仰角,58+FLOAT32+1,定位标志-2,92+UINT8+1
A帧前发1俯仰角速度,25+FLOAT32+1,激光光轴系目标方位角,59+FLOAT32+0.0174533,激光测距距离-1,93+UINT16+1
A帧前发1方位角速度,26+FLOAT32+1,光轴系综合目标俯仰角,60+FLOAT32+0.0174533,定位标志-1,94+UINT8+1
A帧前发2弹体视线俯仰角,27+FLOAT32+0.0174533,光轴系综合目标方位角,61+FLOAT32+0.0174533,激光测距距离-0,95+UINT16+1
A帧前发2弹体视线方位角,28+FLOAT32+0.0174533,红外目标左上角方位坐标,62+UINT16+1,定位标志-0,96+UINT8+1
A帧前发2俯仰角速度,29+FLOAT32+1,红外目标左上角俯仰坐标,63+UINT16+1,滤波参数,97+UINT8+1
A帧前发2方位角速度,30+FLOAT32+1,红外目标宽度,64+UINT16+1,激光发射时间间隔,98+UINT16+1
A帧弹体俯仰姿态角,31+FLOAT32+0.0174533,红外目标高度,65+UINT16+1,指令状态字,99+UINT8+1
A帧弹体偏航姿态角,32+FLOAT32+0.0174533,红外目标置信度,66+UINT8+1,当前绝对时间,100+UINT32+1
A帧弹体滚转姿态角,33+FLOAT32+0.0174533,红外融合图像灰度均值,67+UINT16+1,预留,101+RES+5
A帧上下视俯仰角,34+FLOAT32+0.0174533,红外融合图像灰度标准差,68+UINT8+1,数据有效标志,102+UINT8+1
